theme_id,theme_name,news_order,publish_dt,date_diff,media_name,title,url,thumbnail,summary,category
153735,D램,1,2026-07-01 10:27:04,6일 전,NAVER뉴스,메모리값 또 뛰었다…유진테크·주성ENG 들썩 [칩칩폭폭],https://n.news.naver.com/mnews/article/123/0002385707?sid=001,https://imgnews.pstatic.net/image/origin/123/2026/07/01/2385707.jpg?type=nf106_72,■ 세 줄 요약 • D램과 낸드플래시 계약가격이 일제히 큰 폭으로 오르며 메모리 가격 강세가 이어졌다. AI 수요와 …,
153735,D램,2,2026-07-01 08:21:12,6일 전,NAVER뉴스,"HBM이 바꾼 인재 지형…삼전D램 경력자, 웃돈 주고 모셔간다",https://n.news.naver.com/mnews/article/018/0006319538?sid=001,https://imgnews.pstatic.net/image/origin/018/2026/07/01/6319538.jpg?type=nf106_72,인공지능(AI) 시대를 맞아 반도체 엔지니어의 몸값이 치솟고 있다. 우수한 한국 메모리 엔지니어들이 미국 빅테크 기업들로 이직하 …,
153735,D램,3,2026-06-29 17:54:53,2026-06-29,,"AI가 바꾼 메모리 게임의 룰…삼성·SK, 3200조 반도체 투자",https://www.mt.co.kr/industry/2026/06/29/2026062917222536308,https://mimgnews.pstatic.net/image/upload/office_logo/008/2025/03/07/logo_008_100_20250307145621.png,"AI 인프라가 확대되면서 초기에는 HBM에 집중됐던 수요가 LPDDR(저전력 D램), GDDR(그래픽 D램), 고용량 eSSD(기업용 솔리드스테이트드라이브) 등 메모리 전반으로 확산되고 있다. 시장조사업체 카운터포인트리서치는 올해 전체 D램 출하량의 57%가 데이터센터로 향할 것으로 전망했다. 메모리 수요의 중심이 AI...",
153735,D램,4,2026-06-28 16:05:36,2026-06-28,이데일리,메모리 대란에 애플·MS도 흔든…중소 업체는 '생존 위기',https://www.edaily.co.kr/news/newspath.asp?newsid=02404246645486312,https://mimgnews.pstatic.net/image/upload/office_logo/018/2025/03/07/logo_018_100_20250307145653.png,"방산기업에 통신장비를 공급하는 W5 테크놀로지스는 치솟는 D램 가격으로 서버 확보에 어려움을 겪고 있다. 올해 초 W5는 위성통신 시뮬레이터에... 결국 W5는 현재 시험 중인 중고 서버를 고객인 방산업체에 우선 제공하고, 설치를 위해 직원들을 직접 파견하는 비용까지 부담하기로 했다. 일레인 퍼거슨 W5...",
153735,D램,5,2026-06-27 10:04:08,2026-06-27,서울경제,"LG전자 770TB 제조 데이터, 엔비디아 컴퓨팅과 만난다",https://www.sedaily.com/article/20060819?ref=naver,https://mimgnews.pstatic.net/image/upload/office_logo/011/2025/03/07/logo_011_100_20250307145637.png,"테크인사이트에 따르면 D램·낸드 가격이 최근 1년간 4배 치솟아 IT 기기 전반의 가격 인상이 불가피한 상황이다. ■ 청년미래적금, 최고 연 19.4... 시장조사 업체 테크인사이트에 따르면 AI 하이퍼스케일러들의 공격적 투자로 D램·낸드 가격이 최근 1년간 4배 급등했다. 델·레노버도 노트북 가격...",
162078,DDR5,1,2026-06-29 19:38:24,2026-06-29,이데일리,"""中 CXMT, 텐센트에 4조원대 D램 공급""…삼성·SK하이닉스 추격 속도",https://www.edaily.co.kr/news/newspath.asp?newsid=05188966645486640,https://mimgnews.pstatic.net/image/upload/office_logo/018/2025/03/07/logo_018_100_20250307145653.png,"일부 소식통은 CXMT가 DDR5 제품에서 낮은 수율 문제를 겪고 있다고 전했다. HBM 등 고부가 메모리 영역에서도 삼성전자와 SK하이닉스, 마이크론과의... CXMT의 추격이 실제 위협으로 이어질지는 DDR5 수율 개선, HBM 기술 확보, 대규모 양산 안정성에 달려 있다는 관측이 나온다.",
162078,DDR5,2,2026-06-29 19:08:33,2026-06-29,서울경제,"상장 앞둔 中 CXMT, 텐센트에 5년간 4.5조 원어치 D램 공급한다",https://www.sedaily.com/article/20061548?ref=naver,https://mimgnews.pstatic.net/image/upload/office_logo/011/2025/03/07/logo_011_100_20250307145637.png,"CXMT의 1분기 매출은 전년 동기 대비 700% 증가한 508억 위안을 기록했으며, 전년도 16억 위안 손실에서 250억 위안의 순이익을 기록하며 흑자 전환했다. 다만 로이터는 CXMT의 DDR5 규격 D램 생산 수율이 아직 낮은 편이라며 글로벌 상위 경쟁사들과 비교해 여전히 기술 격차를 보이고 있다고 평가했다.",
162078,DDR5,3,2026-06-29 18:38:24,2026-06-29,연합뉴스,"""中 CXMT, 텐센트에 4조5천억 규모 D램 공급 장기 계약""",https://www.yna.co.kr/view/AKR20260629156900009?input=1195m,https://mimgnews.pstatic.net/image/upload/office_logo/001/2025/03/07/logo_001_100_20250307145612.png,다만 한 소식통은 CXMT가 D램 제품인 DDR5의 낮은 수율 문제 등을 안고 있다고 지적했다. CXMT는 올해 IPO를 통해 295억 위안(약 6조7천억원)을 조달해 웨이퍼 생산라인 및 D램 기술 업그레이드 등에 쓸 계획이다. 최근에는 세계적인 메모리 반도체 품귀 탓에 생산 비용이 대폭 늘어난 애플이 도널드 트럼프...,
162078,DDR5,4,2026-06-17 00:38:29,2026-06-17,파이낸셜뉴스,中 CXMT 상장 임박… 삼전닉스 아성 흔드나,http://www.fnnews.com/news/202606161844541171,https://mimgnews.pstatic.net/image/upload/office_logo/014/2025/03/07/logo_014_100_20250307145643.png,"삼성전자와 SK하이닉스, 마이크론이 HBM과 더블데이트레이트5(DDR5) 등 AI 가속기의 필수품인 고부가가치 제품 생산 확대에 집중하면서 범용 D램 공급이 줄었고, 그 빈자리를 CXMT가 빠르게 파고들었다는 분석이다. CXMT는 중국 내수시장을 기반으로 생산능력을 빠르게 확대하며 점유율도 끌어올렸다....",
162078,DDR5,5,2026-06-09 11:36:44,2026-06-09,디스이즈게임닷컴,"서린씨앤아이, 써멀라이트 고성능 메모리 쿨러 MC-2 및 MC-3 ARGB 정식 출...",https://www.thisisgame.com/articles/425715,https://ssl.pstatic.net/sstatic/search/pc/img/bg_news_press_default.png,두 제품 모두 DDR5 등 다양한 세대의 메모리 플랫폼과 높은 호환성을 보여준다. 별도의 복잡한 도구 없이도 간편하게 장착할 수 있는 원스텝 클립 장착 방식과 한쪽 측면만 고정하는 원사이드 고정 설계를 도입해 조립 편의성을 높였다. 이를 통해 메인보드 주변 부품이나 케이블과의 간섭을 최소화하고...,
